Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
14921,14685,900.35,1,5.88,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_33012> <http://purl.obolibrary.org/obo/CHEBI_38777>),0,ore_ont_15929.owl,160026,15318,2,16349
7272,7226,49.03,1,0.68,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC495> <http://www.absoluteiri.edu/RELAPPROXC475>),0,ore_ont_1481.owl,2272,7224,1,7174
11571,11225,215.31,1,1.88,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSG00000197674> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0002240>)),0,ore_ont_10445.owl,459568,11472,1,11620
16116,15942,147.36,1,0.92,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_5697> <http://purl.obolibrary.org/obo/CHEBI_33695>),0,ore_ont_15388.owl,74843,16097,4,16235
11833,9634,1223.47,1,11.08,SubClassOf(<http://purl.obolibrary.org/obo/FMA_17711> <http://purl.obolibrary.org/obo/FMA_5980>),0,ore_ont_7716.owl,42908,11043,3,11663
9166,9263,68.38,1,0.74,SubClassOf(<http://purl.obolibrary.org/obo/TGMA_0001839> <http://purl.obolibrary.org/obo/TGMA_0001832>),0,ore_ont_2440.owl,4599,9242,2,9298
10896,10948,26.06,1,0.24,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0003053> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0016318>))),0,ore_ont_4557.owl,146260,10921,1,10919
7412,7354,98.48,1,1.32,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB#_P82757> <http://purl.obolibrary.org/obo/PR_000000001>),0,ore_ont_4235.owl,48845,7437,1,7546
7201,7194,10.15,1,0.14,SubClassOf(<http://purl.obolibrary.org/obo/GO_0003382> <http://purl.obolibrary.org/obo/GO_0009653>),0,ore_ont_457.owl,1525,7203,1,7214
9240,9259,116.72,1,1.25,SubClassOf(<http://purl.obolibrary.org/obo/AAO_0010794> <http://purl.obolibrary.org/obo/AAO_0010109>),0,ore_ont_9598.owl,4284,9316,2,9451
7453,7496,35.76,1,0.48,SubClassOf(<http://purl.obolibrary.org/obo/MGI_MGI%3A109634> <http://purl.obolibrary.org/obo/PANTHER_PTHR21717>),0,ore_ont_9513.owl,44839,7491,1,7524
7814,9721,1084.65,1,11.96,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSDARG00000013561> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0000948>)),0,ore_ont_8557.owl,102336,9066,1,9663
68175,75527,3688.81,42,5.12,SubClassOf(<http://purl.obolibrary.org/obo/VT_1000289> <http://purl.obolibrary.org/obo/OBA_1000066>),13,ore_ont_6198.owl,15081,72028,15,72383
7105,7163,39.72,1,0.56,SubClassOf(<http://www.xspan.org/obo.owl#EMAPA.17859> <http://www.xspan.org/obo.owl#XUO.0000004>),0,ore_ont_1555.owl,14372,7118,1,7087
7435,7296,81.73,1,1.11,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_Q9Z2V5> <http://purl.obolibrary.org/obo/PR_000008485>),0,ore_ont_9590.owl,35517,7390,1,7440
Timeout,Timeout,0.00,65,0.00,SubClassOf(<http://purl.obolibrary.org/obo/GO_0002599> <http://purl.obolibrary.org/obo/GO_0002577>),10,ore_ont_10175.owl,128846,90001,11,Timeout
9352,9207,121.79,1,1.30,SubClassOf(<http://sweet.jpl.nasa.gov/2.1/reprMathOperation.owl#Integration> <http://www.absoluteiri.edu/RELAPPROXC4434>),0,ore_ont_13621.owl,11677,9336,2,9449
13021,12688,471.20,1,3.74,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_P0C881> <http://purl.obolibrary.org/obo/PR_000014325>),0,ore_ont_12387.owl,433558,12600,1,12091
7152,7153,5.51,1,0.08,SubClassOf(<http://purl.org/obo/owl/GO#GO_0072202> <http://purl.org/obo/owl/GO#GO_0030154>),0,ore_ont_9857.owl,2271,7149,1,7143
13405,13562,108.81,2,0.80,SubClassOf(<http://purl.obolibrary.org/obo/MP_0012785> <http://purl.obolibrary.org/obo/MP_0003861>),2,ore_ont_4732.owl,23649,13527,5,13614
9129,9233,75.58,1,0.82,SubClassOf(<http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object> <http://www.cidoc-crm.org/cidoc-crm/E70_Thing>),0,ore_ont_2228.owl,700,9212,3,9276
9267,9312,52.16,1,0.56,SubClassOf(<http://purl.obolibrary.org/obo/RS_0001312> <http://purl.obolibrary.org/obo/RS_0000343>),0,ore_ont_11619.owl,8720,9316,2,9371
9212,9196,20.66,1,0.22,SubClassOf(<http://lod.taxonconcept.org/ontology/phylo.owl#Phalangida> <http://lod.taxonconcept.org/ontology/phylo.owl#Euchelicerata>),0,ore_ont_13887.owl,1254,9193,3,9171
7354,7310,66.67,1,0.91,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSCING00000017339> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-7719_scaffold_949>)),0,ore_ont_12802.owl,30754,7295,1,7223
7036,7058,93.03,1,1.31,SubClassOf(<http://www.owl-ontologies.com/Ontology1324330201.owl#CoreProductModel> <http://www.absoluteiri.edu/RELAPPROXC64>),0,ore_ont_2036.owl,203,7100,1,7207
7386,7535,74.66,1,1.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSGALG00000016517> <http://purl.obolibrary.org/obo/SO_0001217>),0,ore_ont_964.owl,35876,7463,1,7469
9447,9767,1207.49,1,11.73,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009496> <http://purl.obolibrary.org/obo/MP_0005083>),0,ore_ont_11452.owl,21702,10298,3,11680
24682,25199,260.20,1,1.04,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00441268> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/57dc1631-dc30-4405-8c59-c6af4b1e4221_gaz.obo#located_in> <http://purl.obolibrary.org/obo/GAZ_00001628>)),0,ore_ont_11395.owl,1169399,24957,1,24992
7378,7347,52.29,1,0.71,SubClassOf(<http://purl.obolibrary.org/obo/NCBI_Gene_157570> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> <http://purl.obolibrary.org/obo/HP_0001629>)),0,ore_ont_16559.owl,45314,7391,1,7449
7352,7303,29.84,1,0.41,SubClassOf(<http://purl.obolibrary.org/obo/GO_0021852> <http://purl.obolibrary.org/obo/GO_0016477>),0,ore_ont_11009.owl,1524,7317,1,7298
36070,35844,262.30,1,0.73,SubClassOf(<http://purl.obolibrary.org/obo/SO_0000486> <http://purl.obolibrary.org/obo/SO_0000833>),0,ore_ont_1579.owl,282524,36093,3,36367
10298,10503,103.32,1,0.99,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_FBgn0021873> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/UBERON_0000061>)),0,ore_ont_14607.owl,276566,10408,1,10423
9121,9216,228.15,1,2.45,SubClassOf(<http://purl.obolibrary.org/obo/sep_00126> <http://purl.obolibrary.org/obo/sep_00001>),0,ore_ont_6735.owl,427,9297,8,9555
Timeout,Timeout,0.00,730,0.00,SubClassOf(<http://purl.obolibrary.org/obo/GO_0044774> <http://purl.obolibrary.org/obo/GO_0048519>),22,ore_ont_935.owl,28658,90001,24,Timeout
6843,6741,56.98,1,0.84,SubClassOf(<http://www.lexinfo.net/lmf#SemanticPredicate> <http://www.lexinfo.net/lmf#LMFClass>),0,ore_ont_9509.owl,174,6777,1,6748
11282,11433,273.61,1,2.38,SubClassOf(<http://purl.obolibrary.org/obo/WB_WBGene00004441> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005622>))),0,ore_ont_2253.owl,172388,11509,1,11813
9396,9393,25.74,1,0.27,SubClassOf(<http://purl.org/obo/owl/IEV#IEV_0001885> <http://purl.org/obo/owl/IEV#IEV_0001046>),0,ore_ont_8641.owl,11046,9409,2,9439
9265,9482,115.48,1,1.23,SubClassOf(<http://purl.obolibrary.org/obo/PO_0003021> <http://purl.obolibrary.org/obo/PO_0025095>),0,ore_ont_5485.owl,3706,9396,2,9442
9770,9909,70.60,1,0.72,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSMUSG00000029198> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-10090_5>)),0,ore_ont_7256.owl,75518,9846,1,9861
6751,6750,35.51,1,0.52,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC199> owl:Thing),0,ore_ont_10536.owl,307,6771,0,6812
9187,9224,37.50,1,0.41,SubClassOf(<http://purl.obolibrary.org/obo/PRIDE_0000369> <http://purl.obolibrary.org/obo/PRIDE_0000017>),0,ore_ont_10056.owl,898,9186,2,9149
9295,9178,58.51,1,0.63,SubClassOf(<http://www.ebi.ac.uk/efo/swo/SWO_0000044> <http://www.ebi.ac.uk/efo/swo/SWO_0000042>),0,ore_ont_8135.owl,2344,9237,2,9238
9156,9187,24.79,1,0.27,SubClassOf(<http://www.owl-ontologies.com/unnamed.owl#Medo> <http://www.owl-ontologies.com/unnamed.owl#Satisfeito_Insatisfeito>),0,ore_ont_9854.owl,170,9160,4,9138
9151,9069,46.50,1,0.51,SubClassOf(<http://purl.obolibrary.org/obo/AEO_0000161> <http://purl.obolibrary.org/obo/CARO_0000010>),0,ore_ont_11010.owl,630,9097,2,9072
9226,9316,64.49,1,0.69,SubClassOf(<http://purl.obolibrary.org/obo/MA_0000394> <http://purl.obolibrary.org/obo/MA_0000543>),0,ore_ont_9646.owl,7286,9297,2,9351
10961,10902,30.51,1,0.28,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSG00000101049> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0001558>)),0,ore_ont_11389.owl,277208,10936,1,10945
9346,9291,28.92,1,0.31,SubClassOf(<http://purl.obolibrary.org/obo/CL_0002526> <http://purl.obolibrary.org/obo/CL_0000219>),0,ore_ont_14031.owl,4912,9313,6,9303
9449,9399,112.51,2,1.20,SubClassOf(<http://purl.obolibrary.org/obo/FYPO_0001027> <http://purl.obolibrary.org/obo/FYPO_0001024>),1,ore_ont_2377.owl,4099,9360,3,9234
11194,11718,327.03,1,2.88,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-050506-42> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005575>))),0,ore_ont_7993.owl,177165,11343,1,11117
7193,7216,11.59,1,0.16,SubClassOf(<http://purl.org/obo/owl/HP#HP_0004701> <http://purl.org/obo/owl/PATO#PATO_0000645>),0,ore_ont_4383.owl,3204,7205,1,7207
9576,9819,141.76,1,1.47,SubClassOf(<http://www.ontologydesignpatterns.org/ont/fao/agrovoc.owl#Health_Insurance> <http://www.ontologydesignpatterns.org/ont/own/own16.owl#INSURANCE%24COVERAGE>),0,ore_ont_6433.owl,32342,9655,2,9571
