Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
6002,6002,0.00,1,0.00,SubClassOf(<http://www.ebi.ac.uk/efo/swo/SWO_0000077> ObjectSomeValuesFrom(<http://www.ebi.ac.uk/efo/swo/SWO_0000741> <http://www.ebi.ac.uk/efo/swo/SWO_0000415>)),0,ore_ont_8135.owl,2344,6002,1,6002
14399,14595,142.84,1,0.98,SubClassOf(<http://www.owl-ontologies.com/unnamed.owl#Desejavel_para_outro> <http://www.owl-ontologies.com/unnamed.owl#Emoção>),0,ore_ont_9854.owl,170,14557,4,14677
14587,14727,71.84,1,0.49,SubClassOf(<http://purl.obolibrary.org/obo/AEO_0000178> <http://purl.obolibrary.org/obo/CARO_0000003>),0,ore_ont_11010.owl,630,14666,3,14685
6002,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/MA_0000649> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/2684a099-e94b-4deb-bad9-f60547ccdd68_masimple.obo#part_of> <http://purl.obolibrary.org/obo/MA_0000048>)),0,ore_ont_9646.owl,7286,6001,1,6001
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSG00000185100> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0042301>)),0,ore_ont_11389.owl,277208,6002,1,6002
15102,15292,113.64,3,0.75,SubClassOf(<http://purl.obolibrary.org/obo/CL_0000803> <http://purl.obolibrary.org/obo/CL_0000084>),2,ore_ont_14031.owl,4912,15161,4,15089
6034,6035,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/FYPO_0000413> <http://purl.obolibrary.org/obo/PATO_0001558>),0,ore_ont_2377.owl,4099,6034,1,6034
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-060503-585> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0006810>))),0,ore_ont_7993.owl,177165,6002,1,6002
6030,6031,1.00,1,0.02,SubClassOf(<http://purl.org/obo/owl/HP#HP_0001386> <http://purl.org/obo/owl/PATO#PATO_0001450>),0,ore_ont_4383.owl,3204,6031,1,6032
15324,15154,92.92,1,0.61,SubClassOf(<http://www.ontologydesignpatterns.org/ont/fao/agrovoc.owl#Futures_Trading> <http://www.ontologydesignpatterns.org/ont/fao/agrovoc.owl#Markets>),0,ore_ont_6433.owl,32342,15217,2,15174
14694,14794,95.54,1,0.65,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/F26_Recording> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/F2_Expression>),0,ore_ont_338.owl,418,14791,2,14885
18599,18521,670.86,1,3.54,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E27_> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E1_>),0,ore_ont_15145.owl,186,18946,6,19720
